sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
GBS08d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.57142857	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		08a						3	GBS	1182000	107142857.1	101224105.5	47800990.1		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl287	adult	Mus musculus	4	IV
GBS09d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.57142857	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		09a						3	GBS	720	781.25	0	0		Colonized		Clear	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl286	adult	Mus musculus	5	V
GBS10d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		10a						3	GBS	2460000					Colonized		Clear	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl285	adult	Mus musculus	2	II
GBS11d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		11a						3	GBS	456000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl284	adult	Mus musculus	2	II
GBS12d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		12a						3	GBS	3240000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl283	adult	Mus musculus	2	II
GBS13d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		13a						3	GBS	690000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl282	adult	Mus musculus	2	II
GBS14d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		14a						3	GBS	426000	1626016.26	3763440.86	361.3325031		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl281	adult	Mus musculus	5	V
GBS15d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		15a						3	GBS	1500000	126660341.6	133606557.4	10264942.53		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl280	adult	Mus musculus	4	IV
GBS16d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		16a						3	GBS	3780000	74453551.91	70895522.39	16357.67947		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl279	adult	Mus musculus	5	V
GBS17d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		17a						3	GBS	2040000	101439790.6	133534136.5	6031.690141		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl278	adult	Mus musculus	5	V
