sample_name,f__Enterobacteriaceae; ; ,f__Lactobacillaceae; g__Lactobacillus; s__,f__Staphylococcaceae; g__Staphylococcus; s__succinus,f__Streptococcaceae; g__Streptococcus; s__,f__Lactobacillaceae; g__Lactobacillus; ,f__Enterococcaceae; g__Enterococcus; ,f__Moraxellaceae; g__Acinetobacter; ,f__Lactobacillaceae; g__Lactobacillus; s__helveticus,f__Streptococcaceae; g__Streptococcus; s__agalactiae,f__Lactobacillaceae; g__Lactobacillus; s__zeae,f__Micrococcaceae; g__Micrococcus; ,f__Xanthomonadaceae; g__Stenotrophomonas; s__geniculata,f__Corynebacteriaceae; g__Corynebacterium; s__,f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,f__Lactobacillaceae; g__Lactobacillus; s__iners,Other
HMBd0m06,0.68091739,0,0,0,0,0.00912937,0.081718994,0.013360053,0,0.181919394,0,0,0,0,0,0.032954798
HMBd0m07,0.716220376,0,0,0.010464758,0,0,0.104647584,0.022468452,0,0.030163127,0,0,0,0,0,0.116035703
HMBd0m08,0.597778922,0.150768552,0.005957196,0,0,0.017209679,0.080311833,0.007942929,0,0.109509451,0.002574097,0,0,0,0,0.027947341
HMBd0m09,0.098405517,0,0.000255409,0.86196957,0,0.00306491,0.004706827,0,0,0.011894771,0,0,0,0.015361039,0,0.004341956
HMBd0m10,0.495634218,0,0,0.033982301,0,0.326312684,0.038702065,0.004011799,0,0.051681416,0,0,0.00719764,0,0,0.042477876
HMBd0m11,0.524121014,0,0,0,0,0,0,0.095666394,0.191332788,0.187244481,0,0,0,0,0,0.001635323
HMBd0m12,0.472840273,0.000248602,0.000372902,0.315226849,0,0.000124301,0.041267868,0.002486016,0,0.092479801,0,0,0,0.016034804,0,0.058918583
HMBd0m13,0.991604726,0.000614065,0.000265789,0,9.16515E-06,0.000348276,0,0.000504083,0.002621232,0.002951177,0,0,0,0,0,0.001081487
HMBd0m14,0.031627255,0.770832391,0,0.000113035,0,0.005742189,0.004702265,0.000452141,0.154406113,0.001514672,0.012953836,0,0.004770086,0.001537279,0,0.011348736
HMBd0m15,0.115384615,0.686866792,0.006003752,0,0,0.040900563,0,0.107879925,0.016885553,0.016510319,0,0,0,0,0,0.00956848
HMBd0m16,0.355105942,0.276246615,0.014178748,0,0,0,0.052254262,0.024374701,0.146885455,0.048590091,0,0,0.007965589,0,0,0.074398598
HMBd0m17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMBd0m18,0.578221114,0.011970075,0.000166251,0.022776392,0,0.023275145,0.054530341,0.009975062,0,0.076641729,0,0,0,0,0,0.22244389
HMBd0m19,0.635732148,0.030286191,0.010280634,0,0,0,0.10030564,0,0,0.143928869,0,0,0,0,0,0.079466518
HMBd0m20,0.735984667,0.049832295,0,0,0,0,0.00431241,0.002395783,0,0.068519406,0,0,0.024436991,0,0.028749401,0.085769046
HMBd0m21,0.0007805,8.04151E-05,0.998561988,4.7303E-06,7.09545E-06,0,0.000158465,9.4606E-06,4.7303E-06,6.85894E-05,0,0,2.12864E-05,8.75106E-05,9.4606E-06,0.000205768
HMBd1m04,0.89357482,0.054594995,0.000621081,0,0.00140244,0.029651594,0,0.012541823,0,0.002504358,0,0,0,0,0,0.005108889
HMBd1m10,0.010857417,0.099984033,0,0.004630369,0,0.857959444,0.003544627,0.013986907,0,0.006610251,0,0,0,0,0,0.002426952
HMBd1m13,0.98768595,0.008603306,0.000264463,0,0,0.000520661,0.00031405,0.000363636,0,0.000247934,0,0,0.000173554,0,0,0.001826446
HMBd1m17,0.860115032,0.094369097,0.000142015,0,0,0.001065114,0.004544486,0.022367393,0,0.003337357,0.002698289,0,0.002272243,0,0,0.009088973
HMBd1m21,0.006808403,0.009777428,0.977146226,0,0,0.001684553,0.000470271,0.00164244,0,0.000638726,0,0,0,0,0,0.001831952
HMBd2m04,0.967907867,0.008249269,0.000628697,0,0,0.019946847,0.000161937,0.001743206,0,0.000714429,0,0,0.000180989,0,0,0.00046676
HMBd2m10,0.300946892,0.382873611,0,0,0,0.006998765,0.055166735,0.087690408,0.01811445,0.016879374,0,0,0,0,0,0.131329765
HMBd2m13,0.428116214,0.382567948,0.000374883,0,0,0.066354264,0.00918463,0.00393627,0.043111528,0.023242737,0,0,0.016494845,0,0,0.026616682
HMBd2m17,0.972132619,0.016483212,0.00045448,0.000665093,0,0.000421225,0.001119573,0.005021449,0,0.001241506,0.000243867,0,0,0,0,0.002216975
HMBd2m21,0.001134862,0.001230069,0.997124762,0,0,0,4.56991E-05,0.000331319,0,5.71239E-05,0,0,0,2.28496E-05,0,5.33157E-05
HMBd3m01,0.035671819,0.670630202,0,0,0.010998811,0,0.080558859,0.122770511,0,0.001486326,0,0,0,0,0,0.077883472
HMBd3m02,0.041346868,0.779400842,0.000495172,0,0,0.007427581,0.016093092,0.082941322,0,0.006437237,0,0,0,0,0.009160683,0.056697202
HMBd3m03,0.945435,0.034733291,0.000426289,0,0,0.001519813,0.00266894,0.012139971,0,0,0,0,0,0,0,0.003076695
HMBd3m04,0.118863049,0.688992248,0.000103359,0,0,0.020671835,0,0.141085271,0.001757106,0.009095607,0,0,0,0,0,0.019431525
HMBd3m05,0.076741226,0.473540644,0,0,0,0.024731769,0.006546645,0.107292235,0.007637752,0,0,0,0,0.057283142,0,0.246226587
HMBd3m06,0.546551724,0.088594164,0.037076334,0.000442087,0.006233422,0.060757442,0.00109048,0.015944592,0.000795756,0.004317713,0,0,0.001267315,0.001576776,0,0.235352196
HMBd3m07,0.003674202,0.028103439,0.958125316,0,0,0,0.002818758,0.005244853,0,0.000168284,0,0,0,0,0,0.001865148
HMBd3m08,0.055362252,0.699528338,0.005180546,0,0,0.019948968,0.02984613,0.146911003,0.002551612,0.00440733,0.001855718,0,0.005721797,0,0,0.028686306
HMBd3m09,0.056248003,0.836049856,0.011824864,0,0,0.023649728,0.011185682,0.055928412,0,0.005113455,0,0,0,0,0,0
HMBd3m10,0.038581624,0.740075825,0,0,0,0.020851918,0.022190009,0.130686887,0,0.009812667,0.010927743,0,0,0,0,0.026873327
HMBd3m11,0.098963001,0.610869287,0,0.007937524,0,0.037895276,0.023492511,0.111765459,0,0.000512098,0,0.003776725,0.002944565,0.014594802,0,0.087248752
HMBd3m12,0.080965552,0.537088257,0,0,0,0.027407594,0.014332411,0.160170983,0.018104099,0.036962535,0,0,0,0,0,0.124968569
HMBd3m13,0.103834449,0.589896531,0,0,0,0.032501522,0.030675593,0.135118685,0.00584297,0.004503956,0.001460743,0,0,0,0,0.096165551
HMBd3m14,0.067822282,0.695220464,0,0,0,0,0.05233928,0.086671154,0,0.013800067,0,0,0.007404914,0,0,0.076741838
HMBd3m15,0.019641969,0.682744903,0.000621581,0,0,0.010939831,0.030208851,0.1223272,0,0.029835903,0,0,0,0.011810045,0,0.091869717
HMBd3m16,0.119706569,0.54924975,0.032344115,0.003067689,0,0.003201067,0.019739913,0.122107369,0.001667222,0,0,0.003401134,0,0,0,0.145515172
HMBd3m17,0.970177859,0.012641747,0.000391498,0.000195749,0,0.000801205,0.000546276,0.004301927,4.09707E-05,0.000345975,2.27615E-05,0,0,0,0,0.010534031
HMBd3m18,0.061068702,0.666666667,0.000727008,0,0,0.01563068,0.007997092,0.190839695,0.001090513,0.01308615,0,0,0,0,0,0.042893493
HMBd3m19,0.082497852,0.670581495,9.54836E-05,0,0,0.042108278,0.014513511,0.1585983,0,0.008307075,0,0,0,0,0,0.023298004
HMBd3m20,0.027633562,0.403868699,0,0,0.382682968,0.004856808,0.031569251,0.118238151,0,0.007536426,0,0,0.001088595,0,0,0.02252554
